gid,aws_x,aws_y,dist_aws_m
나나7577,169,66,219.01797043648025
나나7578,169,67,232.09919859209583
나나7579,169,68,245.84334217357724
나나7580,169,69,260.1498486019569
나나7581,169,70,274.93520556853
나나7582,169,71,290.1302627478447
나나7583,169,72,305.67777967902026
나나7584,169,73,321.5303005671911
나나7675,170,64,181.89645291175273
나나7676,170,65,194.42536859468186
나나7677,170,66,207.7982672390679
나나7678,170,67,221.86783331924542
나나7679,170,68,236.51470148549626
나나7680,170,69,251.64273079359486
나나7681,170,70,267.17458490798816
나나7682,170,71,283.0479415931422
나나7683,170,72,299.2123876978668
나나7684,170,73,315.6269392263564
나나7774,171,63,157.1359084519664
나나7775,171,64,169.9636887413687
나나7776,171,65,183.70138804778264
나나7777,171,66,198.1657107480799
나나7778,171,67,213.2142801014888
나나7779,171,68,228.73690780908166
나나7780,171,69,244.64815015067217
나나7781,171,70,260.88139964110746
나나7782,171,71,277.3843584718148
나나7783,171,72,294.11562830093067
나나7784,171,73,311.04215745570133
나나7785,171,74,328.1373305115155
나나7786,171,75,345.37953381746775
나나7873,172,62,132.46873209957525
나나7874,172,63,145.6944697779621
나나7875,172,64,159.89676475755752
나나7876,172,65,174.8444191349346
나나7877,172,66,190.36802676362365
나나7878,172,67,206.34327028542964
나나7879,172,68,222.67819934838252
나나7880,172,69,239.30404800129867
나나7881,172,70,256.1687471986996
나나7882,172,71,273.2323655753734
나나7883,172,72,290.46389504603326
나나7884,172,73,307.838966938823
나나7885,172,74,325.33821282658016
나나7886,172,75,342.9460748460624
나나7973,173,62,121.72772820145026
나나7974,173,63,136.53269708795256
나나7975,173,64,152.07503816986173
나나7976,173,65,168.15728801274471
나나7977,173,66,184.64470069653686
나나7978,173,67,201.44358425087313
나나7979,173,68,218.48743562022554
나나7980,173,69,235.72807614920515
나나7981,173,70,253.1299203097548
나나7982,173,71,270.6662086053396
나나7983,173,72,288.31648529091524
나나7984,173,73,306.0648775862007
나나7985,173,74,323.89890003974926
나나7986,173,75,341.8086092674201
나나7987,173,76,359.78599654397976
나나8072,174,61,98.27878908864353
나나8073,174,62,113.87524518763114
나나8074,174,63,130.1427598226241
나나8075,174,64,146.86635927409577
나나8076,174,65,163.9135534603514
나나8077,174,66,181.19942757346342
나나8078,174,67,198.66753467698365
나나8079,174,68,216.279106043004
나나8080,174,69,234.00673744150154
나나8081,174,70,251.83056269648827
나나8082,174,71,269.7358575283896
나나8083,174,72,287.711493588694
나나8084,174,73,305.74891380892115
나나8085,174,74,323.84143653760117
나나8086,174,75,341.9837725455452
나나8087,174,76,360.1716830866777
나나8088,174,77,378.4017334497336
나나8172,175,61,92.43893903644664
나나8173,175,62,109.54595966867888
