gid,nx,ny,dist_dfs_m
나나7577,46,33,795.5307364195193
나나7578,46,33,1795.2730128418457
나나7579,46,34,2257.556872551367
나나7580,46,34,1259.395172307906
나나7581,46,34,274.93520556853
나나7582,46,34,751.7330207524209
나나7583,46,34,1747.7458916324504
나나7584,46,35,2313.194631497115
나나7675,46,33,1548.6570055913867
나나7676,46,33,994.2205786531154
나나7677,46,33,1256.4277126310892
나나7678,46,33,2041.7508748908244
나나7679,46,34,2427.3872322262723
나나7680,46,34,1543.282845885249
나나7681,46,34,933.3997587487488
나나7682,46,34,1166.511155909266
나나7683,46,34,1962.2083080267807
나나7684,46,35,2448.7210649160284
나나7774,46,33,2958.706461850589
나나7775,46,33,2311.7266199632013
나나7776,46,33,1983.4858213500152
나나7777,46,33,2127.052430370864
나나7778,46,33,2667.299773103251
나나7779,46,34,2947.516669596007
나나7780,46,34,2275.3829754076314
나나7781,46,34,1914.91014201801
나나7782,46,34,2038.7236250242418
나나7783,46,34,2577.96570699855
나나7784,46,35,2939.6598960321758
나나7785,46,35,2242.503795338177
나나7786,46,35,1848.2549174484434
나나7873,47,32,2790.591757076381
나나7874,47,33,2991.16388955175
나나7875,47,33,2385.0575356491086
나나7876,47,33,2104.741666465233
나나7877,47,33,2274.0658558522646
나나7878,47,33,2812.9723693899555
나나7879,47,34,3080.2501686623677
나나7880,47,34,2475.669312666338
나나7881,47,34,2184.0183126089155
나나7882,47,34,2326.1413185669453
나나7883,47,34,2837.592443970353
나나7884,47,35,3170.0943266752565
나나7885,47,35,2566.7854330662476
나나7886,47,35,2264.3491070909367
나나7973,47,32,2176.5595674194124
나나7974,47,33,2396.982790798659
나나7975,47,33,1577.0112661560715
나나7976,47,33,1108.3332385981316
나나7977,47,33,1403.5101004195408
나나7978,47,33,2170.548003656661
나나7979,47,34,2476.8291064974615
나나7980,47,34,1666.0371745331156
나나7981,47,34,1190.2425429548223
나나7982,47,34,1434.459743315523
나나7983,47,34,2167.6420828462687
나나7984,47,35,2558.189995088154
나나7985,47,35,1755.91157817003
나나7986,47,35,1273.6227423118683
나나7987,47,35,1470.0354788631605
나나8072,47,32,920.4425643615443
나나8073,47,32,1920.265800973219
나나8074,47,33,2131.6640412155725
나나8075,47,33,1133.7678857728122
나나8076,47,33,163.9135534603514
나나8077,47,33,876.530482759297
나나8078,47,33,1873.431002573752
나나8079,47,34,2186.6466893491233
나나8080,47,34,1192.6530040941311
나나8081,47,34,251.83056269648827
나나8082,47,34,839.2949877375083
나나8083,47,34,1829.0471619328405
나나8084,47,35,2244.810473496506
나나8085,47,35,1256.2099670445402
나나8086,47,35,341.9837725455452
나나8087,47,35,809.8409226921799
나나8088,47,35,1787.3812518456602
나나8172,47,32,1340.6057250925023
나나8173,47,32,2153.469280544688
나나8174,47,33,2311.3754930426344
나나8175,47,33,1443.5701243917213
나나8176,47,33,908.4782541341186
나나8177,47,33,1251.7071432379155
나나8178,47,33,2075.6225106292977
나나8179,47,34,2329.8422833509458
나나8180,47,34,1438.4583794546243
나나8181,47,34,842.709886945975
나나8182,47,34,1162.3929618204734
나나8183,47,34,1998.037747847384
나나8184,47,35,2352.4481020566823
나나8185,47,35,1439.7574421591037
나나8186,47,35,782.1706409952773
나나8187,47,35,1072.6976885485496
나나8188,47,35,1920.8252784675235
나나8189,47,36,2379.134870176921
나나8270,47,32,2250.95989342667
나나8271,47,32,1976.6200125249843
나나8272,47,32,2178.814564393476
나나8273,47,32,2754.5306565932415
나나8274,47,33,2853.2300564561315
나나8275,47,33,2209.606252087214
나나8276,47,33,1903.627543260801
나나8277,47,33,2089.314686125429
나나8278,47,33,2665.834558230808
나나8279,47,34,2841.6379759811803
나나8280,47,34,2171.613186244662
나나8281,47,34,1832.1848364193406
나나8282,47,34,1999.4746107260878
나나8283,47,34,2576.6055505396075
나나8284,47,35,2833.522557492805
나나8285,47,35,2137.2270593465273
나나8286,47,35,1762.5631683958004
나나8287,47,35,1909.3240536817946
나나8288,47,35,2486.846951734328
나나8289,47,36,2828.9641200383403
나나8290,47,36,2106.6933610558985
나나8369,48,32,2900.8038059320343
나나8370,48,32,2325.4176054404247
나나8371,48,32,2097.7300490946836
나나8372,48,32,2322.3642431921157
나나8373,48,32,2895.9074566083414
나나8374,48,33,2990.2866582005026
나나8375,48,33,2415.8078886756603
나나8376,48,33,2174.9577494202435
나나8377,48,33,2371.656524149058
나나8378,48,33,2918.7442719968485
나나8379,48,34,3080.4978807715993
나나8380,48,34,2506.694493327356
나나8381,48,34,2253.345817294156
나나8382,48,34,2423.142063882439
나나8383,48,34,2943.75059255974
나나8384,48,35,3171.4195822032857
나나8385,48,35,2598.080318317348
나나8386,48,35,2332.8395818130066
나나8387,48,35,2476.7437672312803
나나8388,48,35,2970.922224253692
나나8389,48,36,3263.0358775754253
나나8390,48,36,2689.968180743081
나나8391,48,36,2413.3906622169684
나나8392,48,36,2532.386258757118
나나8468,48,31,2285.7283968327356
나나8469,48,32,2284.5587369778664
나나8470,48,32,1487.3173642112863
나나8471,48,32,1097.7327821773893
나나8472,48,32,1482.5388967070699
나나8473,48,32,2278.338407575117
나나8474,48,33,2364.9910953595095
나나8475,48,33,1577.1798685962847
나나8476,48,33,1175.5040598317876
나나8477,48,33,1508.6826211820148
나나8478,48,33,2273.8594301830217
나나8479,48,34,2446.9335583549214
나나8480,48,34,1667.7931311894934
나나8481,48,34,1255.222696529278
나나8482,48,34,1539.3615908296558
나나8483,48,34,2272.3741322152446
나나8484,48,35,2530.2949177911737
나나8485,48,35,1759.1223792122462
나나8486,48,35,1336.649063550663
나나8487,48,35,1574.4046154455896
나나8488,48,35,2273.9544998046654
나나8489,48,36,2614.9937884305564
나나8490,48,36,1851.1396999135989
